date,iqa,Bel Air,Cathédrale,HLM,Guédiawaye,Médina,Yoff
2018-07-04T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-07-10T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-07-11T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-07-12T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-07-18T00:00:00.000Z,MAUVAIS,MOYEN,MOYEN,MAUVAIS,MAUVAIS,MOYEN,MOYEN
2018-07-19T00:00:00.000Z,MOYEN,BON,,MOYEN,MOYEN,BON,BON
2018-07-23T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-07-25T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-07-26T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-07-27T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-02T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-03T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-06T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-07T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-09T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-13T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-17T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-21T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-24T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-27T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-08-29T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-03T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-06T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-07T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-11T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-12T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-14T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-17T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-18T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-19T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-21T00:00:00.000Z,MOYEN,BON,,MOYEN,MOYEN,BON,BON
2018-09-24T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-25T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-26T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-27T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-09-28T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-10-01T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-10-02T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-10-11T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-10-18T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-10-19T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-10-22T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-10-23T00:00:00.000Z,TRÈS MAUVAIS,TRÈS MAUVAIS,TRÈS MAUVAIS,TRÈS MAUVAIS,TRÈS MAUVAIS,TRÈS MAUVAIS,TRÈS MAUVAIS
2018-10-24T00:00:00.000Z,TRÈS MAUVAIS,TRÈS MAUVAIS,TRÈS MAUVAIS,TRÈS MAUVAIS,TRÈS MAUVAIS,TRÈS MAUVAIS,TRÈS MAUVAIS
2018-10-25T00:00:00.000Z,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS
2018-10-30T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-10-31T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-11-05T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-11-06T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-11-12T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-11-13T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-11-16T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-11-19T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-11-26T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-11-28T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-11-29T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-11-30T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-12-04T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-12-07T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-12-11T00:00:00.000Z,MOYEN,,,MOYEN,,,
2018-12-13T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-12-15T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-12-17T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-12-18T00:00:00.000Z,MOYEN,,,MOYEN,,,
2018-12-19T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-12-21T00:00:00.000Z,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS
2018-12-24T00:00:00.000Z,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS
2018-12-26T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-12-27T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-12-28T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-12-31T00:00:00.000Z,MOYEN,,,,,,
