date,iqa,Bel Air,Cathédrale,HLM,Guédiawaye,Médina,Yoff
2018-04-06T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-09T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-10T17:26:05.000Z,MAUVAIS,MAUVAIS,MAUVAIS,MAUVAIS,MOYEN,MAUVAIS,MOYEN
2018-04-11T00:00:00.000Z,MAUVAIS,MOYEN,MOYEN,MAUVAIS,MOYEN,MAUVAIS,MOYEN
2018-04-12T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-13T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-16T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-17T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-18T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-19T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-20T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-23T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-24T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-25T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-27T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-04-30T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-05-02T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-05-03T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-05-04T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-05-07T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-05-08T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-05-11T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-05-14T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-05-15T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-05-16T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-05-18T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-05-23T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-05-24T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-05-25T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-05-28T00:00:00.000Z,MOYEN,BON,BON,MOYEN,BON,MOYEN,BON
2018-05-30T00:00:00.000Z,MOYEN,BON,BON,MOYEN,BON,MOYEN,BON
2018-05-31T00:00:00.000Z,MOYEN,MOYEN,MOYEN,,MOYEN,MOYEN,MOYEN
2018-06-01T00:00:00.000Z,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN,MOYEN
2018-06-06T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-06-07T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-06-08T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-06-11T00:00:00.000Z,MOYEN,BON,BON,MOYEN,BON,BON,BON
2018-06-12T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-06-14T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-06-18T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-06-19T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-06-20T00:00:00.000Z,MOYEN,,,,,,
2018-06-21T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-06-26T00:00:00.000Z,MOYEN,,,,,,
2018-07-02T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
2018-07-03T00:00:00.000Z,BON,BON,BON,BON,BON,BON,BON
